p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
0.0,7,2,509969.2395335253,165214.6828287581,0.5691835368452027,0.5691835368452027,0.5691835368452027,0.5691835368452027,0.5691835368452027,0.0002904550942188,0.0025677961151778,0.0470210273898864,5.648523126840045,161.88742537410835
0.0,7,3,578320.9782569199,173387.94665855085,0.5475515069795673,0.5475515069795673,0.5475515069795673,0.5475515069795673,0.5475515069795673,0.000381923030296,0.0032782561355481,0.0668475527452434,6.238942527813571,175.028860379089
0.0,7,4,649449.9492650331,177374.74264394416,0.5226043803527777,0.5226043803527777,0.5226043803527777,0.5226043803527777,0.5226043803527777,0.0004240561862815,0.0036375691888193,0.082069941095952,7.057455393035435,193.5355355044024
0.0,7,5,710397.1407665696,181045.10418613465,0.5048272506680982,0.5048272506680982,0.5048272506680982,0.5048272506680982,0.5048272506680982,0.0004852562030848,0.0040272434199433,0.093788739899426,6.861259529020328,193.2767459812004
0.125,7,1,6176.291548905334,98458.31619864676,3.992659807470303,7.176434121710406,8.67809871082808,9.434072657883918,9.468088483087202,0.0025998949654879,0.0758903094590609,0.421266045843558,5.375039157789352,162.03194799621275
0.125,7,2,79446.06969586779,163842.76464529234,1.43607600349861,1.883145649893574,2.605712516741871,3.1494085566309504,3.298214017773366,0.0086184825718674,0.0510012886409604,0.4020705902315283,12.052887536816204,46.65213242340034
0.125,7,3,93703.94619710036,173868.6008229142,1.3621710283636146,1.6717360835676975,2.365589113986895,2.90576973372275,3.0757067605869435,0.0112483324683229,0.0620461120124622,0.5402653992870687,13.084277435237633,48.03071040161215
0.125,7,4,103616.77552719491,178412.51056804587,1.3121926947912843,1.5498881746122968,2.218655523628023,2.754981378980361,2.937766355399543,0.0125134644892331,0.0687731849557757,0.6317308043846228,14.056269186180668,50.48408495730167
0.125,7,5,113744.4612499143,182478.45517659336,1.2666034563593294,1.4526110156966132,2.093596751123349,2.611573300487883,2.820949329106544,0.014058797237009,0.0742792424511982,0.7029564812906905,14.026373243189964,50.00118213812716
0.25,7,1,9144.780059390489,98458.31619864676,3.2812518816452863,10.600647990896828,15.501157377576185,18.31949034828301,18.451835314077364,0.0098035674975851,0.2421393672603491,0.9191852859012722,5.208266886953473,93.76028533772975
0.25,7,2,35990.42438143912,160100.25187018988,2.109125991778248,3.92618346887629,7.172955263562429,10.28141034079282,11.201437215171367,0.0814921155159461,0.3331527604213967,1.2683009788905,10.569722789590788,15.56348084548525
0.25,7,3,44498.797941805205,172282.02630480024,1.967640920277969,3.1764856107232053,6.035197084679045,8.996883856844233,10.069251115206573,0.1042382451909846,0.3751054194582132,1.4754685407819264,10.778712916521815,14.154771486018229
