,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
full_pink,pink,1,fc2,0.821335597610859,0.02895682644629718,0.6118909442404123,0.04452469644508001,0.9963908723143575,0.0012409893637033095,0.08398812753489422,0.015228044948611226,0.8183944553890078,0.029856905261155465
full_pink,pink,2,conv1,0.8613281257074837,0.00030783429709271723,0.7912336860064509,0.00021095601664577416,0.9930125662560568,0.0020565379906556974,4.708381582777481,0.494352993605201,0.8553092524556161,0.0014851743205718147
full_pink,pink,2,conv2,0.8112876383387854,0.03097859048003158,0.8278983912038912,0.025456101102805245,0.9847227953848806,0.0043071160452217,4.850377710270166,0.5878022126174589,0.7988069029398336,0.02719400800702637
full_pink,pink,2,fc1,0.6039744275123031,0.016964805032542447,0.9502685032594069,0.007325398613518618,0.8641868657925361,0.012719999168130144,4.749948848001,0.6759750179914702,0.5220151906663179,0.01948221109802146
full_pink,pink,2,fc2,0.8948849945176839,0.016790139474862652,0.9648504458998906,0.006692911873614117,0.890937678424269,0.012429766222954525,5.170713436637328,0.44692942773098043,0.7972496982396752,0.015973666529126036
full_pink,pink,3,conv1,0.8612654481889418,0.0007797880920176841,0.7912712966633152,0.00055445919207195,0.9923737431231539,0.0012655202585602017,8.214189352802437,0.8987044867103591,0.8546967302063316,0.0007339973898312105
full_pink,pink,3,conv2,0.848677595756432,0.019477828293549763,0.8372506361878697,0.019235108935920262,0.9824755316536068,0.0060623385034824255,8.194378704111806,0.7554088875945747,0.8337345294825821,0.014780922429204776
full_pink,pink,3,fc1,0.6017335720554972,0.007836765092056806,0.9460580711704969,0.004079455510129663,0.8321430622226945,0.030138759322951434,7.606066554753798,1.2852391813952866,0.500861529247858,0.024007480905452114
full_pink,pink,3,fc2,0.8661293740876289,0.006924458742067147,0.9570056802332035,0.0055549364086572755,0.8832486860691868,0.028619778954372822,8.404027891022332,1.051927726287752,0.764887558851041,0.019289442728000754
full_pink,pink,4,conv1,0.8614730567894915,0.00021176307359050173,0.7911207623882208,0.00015201478636430742,0.9911708520430066,0.0008545265610543397,9.855874061114664,1.1275673183116064,0.8538668830539183,0.0005727248788285295
full_pink,pink,4,conv2,0.8616191767991667,0.030232058200459266,0.8366265510307337,0.0188310049801701,0.9813838091724961,0.0033051964534141325,9.242243510476621,0.9499697452542836,0.8455251066250905,0.027468912795403908
full_pink,pink,4,fc1,0.6000081550158071,0.005567451425131783,0.9436127763566121,0.004081307160690492,0.7918041494539647,0.03959249917445494,8.228173686751356,1.355559666532219,0.4750793793651,0.0239181884852349
full_pink,pink,4,fc2,0.8366996459571147,0.003127283752586793,0.951803425651176,0.001528449027222024,0.8675291575002961,0.037801946422070354,9.414920131728335,1.3078619875002842,0.725939217073619,0.0342642401240425
full_pink,pink,5,conv1,0.8618262772162085,0.0002666580189968909,0.7908690918908091,0.00018708533417539783,0.9885495101987387,0.0040697955021283694,12.725512084440025,0.7466452206726848,0.8519586000527326,0.0037479575166174785
full_pink,pink,5,conv2,0.8703232601455905,0.02038144682723213,0.8285850199235613,0.01706428007502757,0.9811949539714205,0.004446505866230776,11.283117153606218,0.6094933934865195,0.8539513336524726,0.02006722965207207
full_pink,pink,5,fc1,0.5922362197841967,0.013231439665915367,0.9410228627761404,0.002593287930946041,0.7504565112160005,0.041794901382370575,10.612951663149314,0.9912917576689255,0.44417892544288756,0.018792972088300372
full_pink,pink,5,fc2,0.8333839722239019,0.01174310157681669,0.9474763966369385,0.0016969488467248545,0.8536069269977157,0.06992471184952194,12.010856803491206,1.1557898004135603,0.7110330448419377,0.052181143872722
full_public_cifar10,cifar10,1,conv1,0.928500647349292,9.272981663009922e-05,1.5969896699751185,0.009876850209779974,0.7152075804075663,0.037214562552886646,0.7212630223393294,0.028320563291531417,0.6640729350764137,0.034616155433305124
