beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
1.0,42,2,fc2,256,1290,388.70146922153515,0.3013189683887869,0.3013189683887869,0.3013189683887869,0.3937457112608276,0.5124031007751938
1.0,42,3,conv1,256,160,47.757950504498716,0.29848719065311696,0.29848719065311696,0.29848719065311696,0.4227409748892082,0.59375
1.0,42,3,conv2,256,4640,2958.1695627105237,0.6375365436876128,0.6375365436876128,0.6375365436876128,0.2517887720654468,0.6262931034482758
1.0,42,3,fc1,256,200832,52813.8807556841,0.2629754260062345,0.2629754260062345,0.2629754260062345,0.5291438514306229,0.31564192957297643
1.0,42,3,fc2,256,1290,157.09627408786503,0.1217800574324535,0.1217800574324535,0.1217800574324535,0.6157460997260261,0.3806201550387597
1.0,42,4,conv1,256,160,58.506418750329715,0.36566511718956074,0.36566511718956074,0.36566511718956074,0.4123736861980188,0.6
1.0,42,4,conv2,256,4640,2970.482524272809,0.640190199196726,0.640190199196726,0.640190199196726,0.2519789203749856,0.631896551724138
1.0,42,4,fc1,256,200832,47425.07567397317,0.23614302339255283,0.23614302339255283,0.23614302339255283,0.558861603740606,0.2987023980242193
1.0,42,4,fc2,256,1290,120.25779852388858,0.09322309963092137,0.09322309963092137,0.09322309963092137,0.6688187885246747,0.3062015503875969
1.0,42,5,conv1,256,160,74.16684632313915,0.46354278951961975,0.46354278951961975,0.46354278951961975,0.3574254901387473,0.60625
1.0,42,5,conv2,256,4640,2929.277286336647,0.6313097599863464,0.6313097599863464,0.6313097599863464,0.2565697409026306,0.6241379310344828
1.0,42,5,fc1,256,200832,38883.91089088797,0.19361411971641954,0.19361411971641954,0.19361411971641954,0.6195606019041315,0.27301426067558954
1.0,42,5,fc2,256,1290,21.26525409212799,0.016484693094672858,0.016484693094672858,0.016484693094672858,0.8481650320609451,0.16666666666666666
0.0,7,1,conv1,256,160,48.96608779919884,0.30603804874499274,0.30603804874499274,0.30603804874499274,0.49434718796231486,0.4875
0.0,7,1,conv2,256,4640,49.00031020613609,0.010560411682356916,0.010560411682356916,0.010560411682356916,0.9436518247452567,0.05150862068965517
0.0,7,1,fc1,256,200832,12.704896097633211,6.326131342432088e-05,6.326131342432088e-05,6.326131342432088e-05,0.9966574100296335,0.00043817718291905674
0.0,7,1,fc2,256,1290,9.684650094161123,0.007507480693148157,0.007507480693148157,0.007507480693148157,0.9754928365971237,0.0069767441860465115
0.0,7,2,conv1,256,160,2.739753599417604,0.017123459996360026,0.017123459996360026,0.017123459996360026,0.898739990106804,0.10625
0.0,7,2,conv2,256,4640,25.206009633452123,0.005432329662381923,0.005432329662381923,0.005432329662381923,0.9743011859801098,0.02521551724137931
0.0,7,2,fc1,256,200832,16.069729762755305,8.00157831558482e-05,8.00157831558482e-05,8.00157831558482e-05,0.9993685883379473,0.0006871414913957935
0.0,7,2,fc2,256,1290,11.130047040996814,0.00862794344263319,0.00862794344263319,0.00862794344263319,0.9786771678981527,0.020930232558139535
0.0,7,3,conv1,256,160,3.9383566468105964,0.02461472904256623,0.02461472904256623,0.02461472904256623,0.8291333997328039,0.1875
0.0,7,3,conv2,256,4640,37.861352057000666,0.008159774150215661,0.008159774150215661,0.008159774150215661,0.9734653302733981,0.027801724137931035
0.0,7,3,fc1,256,200832,16.249250603552476,8.090966879557279e-05,8.090966879557279e-05,8.090966879557279e-05,0.9990091647837368,0.0008016650732950925
0.0,7,3,fc2,256,1290,10.577599311264233,0.008199689388576925,0.008199689388576925,0.008199689388576925,0.9697397764225405,0.027131782945736434
0.0,7,4,conv1,256,160,4.830353946732076,0.03018971216707548,0.03018971216707548,0.03018971216707548,0.7880396770472793,0.23125
0.0,7,4,conv2,256,4640,36.37810659769333,0.007840109180537356,0.007840109180537356,0.007840109180537356,0.9744162357121309,0.027155172413793102
0.0,7,4,fc1,256,200832,16.685919520846973,8.308396829612299e-05,8.308396829612299e-05,8.308396829612299e-05,0.9987117648067702,0.0008763543658381135
0.0,7,4,fc2,256,1290,10.64586402652583,0.008252607772500644,0.008252607772500644,0.008252607772500644,0.963681137497982,0.03255813953488372
0.0,7,5,conv1,256,160,7.528331353039055,0.0470520709564941,0.0470520709564941,0.0470520709564941,0.7381917238359994,0.3
0.0,7,5,conv2,256,4640,38.963212475306236,0.00839724406795393,0.00839724406795393,0.00839724406795393,0.9729351573563978,0.028879310344827585
0.0,7,5,fc1,256,200832,13.987190443331484,6.964622392512888e-05,6.964622392512888e-05,6.964622392512888e-05,0.9986055040310428,0.0008564372211599745
0.0,7,5,fc2,256,1290,8.68440358563771,0.006732095802819931,0.006732095802819931,0.006732095802819931,0.9634600783344489,0.031007751937984496
0.125,7,1,conv1,256,160,65.18269143248459,0.4073918214530287,0.4073918214530287,0.4073918214530287,0.40867731957993647,0.6
0.125,7,1,conv2,256,4640,117.37781524974362,0.02529694294175509,0.02529694294175509,0.02529694294175509,0.8058599810462279,0.24913793103448276
0.125,7,1,fc1,256,200832,44.76095428259743,0.00022287760059451397,0.00022287760059451397,0.00022287760059451397,0.9579239769869577,0.04812480082855322
0.125,7,1,fc2,256,1290,14.003676576488997,0.01085556323758837,0.01085556323758837,0.01085556323758837,0.8837575633414448,0.1310077519379845
0.125,7,2,conv1,256,160,3.5917638923773265,0.02244852432735829,0.02244852432735829,0.02244852432735829,0.8357956476790904,0.20625
0.125,7,2,conv2,256,4640,52.573890565670894,0.01133057986329114,0.01133057986329114,0.01133057986329114,0.8836146605319468,0.125
0.125,7,2,fc1,256,200832,76.29464065983757,0.0003798928490471517,0.0003798928490471517,0.0003798928490471517,0.9747308297412562,0.016924593690248565
0.125,7,2,fc2,256,1290,27.33383350737777,0.021189018222773463,0.021189018222773463,0.021189018222773463,0.8669241550581014,0.14263565891472868
0.125,7,3,conv1,256,160,6.8161939401483895,0.042601212125927435,0.042601212125927435,0.042601212125927435,0.7425038011832559,0.33125
0.125,7,3,conv2,256,4640,67.51519463900219,0.014550688499784954,0.014550688499784954,0.014550688499784954,0.8800057944123919,0.13125
0.125,7,3,fc1,256,200832,85.34302354650242,0.00042494733681137676,0.00042494733681137676,0.00042494733681137676,0.9652319838446395,0.025722992351816444
0.125,7,3,fc2,256,1290,28.42409425190893,0.02203418159062708,0.02203418159062708,0.02203418159062708,0.8333120831884865,0.1945736434108527
0.125,7,4,conv1,256,160,9.964004410253432,0.06227502756408396,0.06227502756408396,0.06227502756408396,0.689937327802968,0.3875
0.125,7,4,conv2,256,4640,60.77246080926686,0.013097513105445444,0.013097513105445444,0.013097513105445444,0.8805834380067549,0.1310344827586207
0.125,7,4,fc1,256,200832,93.71160888983036,0.00046661691806998065,0.00046661691806998065,0.00046661691806998065,0.9583955517292144,0.03145913001912046
