method,seed,epoch,layer,mean,median,p90,p99
M1_full_ghost,123,4,fc2,0.081114761531353,0.0802365466952323,0.173036515712738,0.2925149798393249
M1_full_ghost,123,5,conv1,0.0464024506509304,0.0384640172123909,0.084131620824337,0.1522137820720672
M1_full_ghost,123,5,conv2,0.2447757869958877,0.2343256622552871,0.3516311347484588,0.4621594250202179
M1_full_ghost,123,5,fc1,0.6075539588928223,0.6149564385414124,0.7145369052886963,0.7745538353919983
M1_full_ghost,123,5,fc2,0.1010674834251403,0.0974003821611404,0.2119788825511932,0.3752186000347137
M2_a_ghost_p05,123,1,conv1,0.0002354794705752,0.0001620643015485,0.0004559703520499,0.0013224967988207
M2_a_ghost_p05,123,1,conv2,0.0120734432712197,0.009524704888463,0.0240883119404315,0.041632954031229
M2_a_ghost_p05,123,1,fc1,0.5120453834533691,0.5050413608551025,0.6120584011077881,0.7398248314857483
M2_a_ghost_p05,123,1,fc2,0.4756456613540649,0.4838526844978332,0.5731987953186035,0.6478760838508606
M2_a_ghost_p05,123,2,conv1,0.004260063637048,0.0035255467519164,0.0076529551297426,0.0135636925697326
M2_a_ghost_p05,123,2,conv2,0.0652545765042305,0.0600352585315704,0.0929814279079437,0.156292974948883
M2_a_ghost_p05,123,2,fc1,0.7813586592674255,0.7859245538711548,0.8241254091262817,0.8494606614112854
M2_a_ghost_p05,123,2,fc2,0.1491267085075378,0.1443700194358825,0.1946104019880294,0.264891117811203
M2_a_ghost_p05,123,3,conv1,0.0073670265264809,0.0060230400413274,0.0137096494436264,0.0225622616708278
M2_a_ghost_p05,123,3,conv2,0.0886814445257186,0.084844097495079,0.1174790933728218,0.1666500568389892
M2_a_ghost_p05,123,3,fc1,0.7432668209075928,0.7467594146728516,0.800564169883728,0.83364337682724
M2_a_ghost_p05,123,3,fc2,0.160684660077095,0.1553645431995391,0.2263981699943542,0.2938826382160187
M2_a_ghost_p05,123,4,conv1,0.0081306993961334,0.0067770672030746,0.0143363894894719,0.0251070149242877
M2_a_ghost_p05,123,4,conv2,0.0979707092046737,0.0947262495756149,0.1325510442256927,0.1791195571422577
M2_a_ghost_p05,123,4,fc1,0.646256685256958,0.6526480317115784,0.7615257501602173,0.8208817839622498
M2_a_ghost_p05,123,4,fc2,0.2476418614387512,0.239362359046936,0.3815045058727264,0.5027056932449341
M2_a_ghost_p05,123,5,conv1,0.0110926935449242,0.0092671569436788,0.0192168150097131,0.0322547815740108
M2_a_ghost_p05,123,5,conv2,0.119176872074604,0.1164521947503089,0.1486274302005767,0.1858291178941726
M2_a_ghost_p05,123,5,fc1,0.703734278678894,0.7056339979171753,0.7606885433197021,0.8019657731056213
M2_a_ghost_p05,123,5,fc2,0.1659961938858032,0.1607512831687927,0.2356990575790405,0.3006975054740906
M3_a_ghost_p025,123,1,conv1,0.0009249460417777,0.0006576500600203,0.0017099409596994,0.0052704736590385
M3_a_ghost_p025,123,1,conv2,0.0135850980877876,0.0101546393707394,0.0281492508947849,0.0462249554693698
M3_a_ghost_p025,123,1,fc1,0.4798146486282348,0.4642351269721985,0.574270486831665,0.7733017206192017
M3_a_ghost_p025,123,1,fc2,0.5056753158569336,0.5245205163955688,0.5919917225837708,0.6411824226379395
M3_a_ghost_p025,123,2,conv1,0.0104682277888059,0.0089798904955387,0.0182643961161375,0.0294338557869195
M3_a_ghost_p025,123,2,conv2,0.0786886811256408,0.0741052329540252,0.1083624884486198,0.1661724150180816
M3_a_ghost_p025,123,2,fc1,0.6316055655479431,0.632000207901001,0.674745500087738,0.7143364548683167
M3_a_ghost_p025,123,2,fc2,0.2792375087738037,0.2791481018066406,0.3320884108543396,0.3807277381420135
M3_a_ghost_p025,123,3,conv1,0.0159593019634485,0.013416638597846,0.0283363591879606,0.0444546267390251
M3_a_ghost_p025,123,3,conv2,0.1089280918240547,0.1056168004870414,0.1408800631761551,0.1862709522247314
M3_a_ghost_p025,123,3,fc1,0.6104304790496826,0.6109434962272644,0.6608770489692688,0.7019273638725281
M3_a_ghost_p025,123,3,fc2,0.2646821439266205,0.2624236941337585,0.3261470794677734,0.3774091601371765
M3_a_ghost_p025,123,4,conv1,0.0190439615398645,0.0158863421529531,0.0335962250828743,0.0558459348976612
M3_a_ghost_p025,123,4,conv2,0.1218069344758987,0.1188302636146545,0.1559789329767227,0.1970981359481811
M3_a_ghost_p025,123,4,fc1,0.5903915166854858,0.5909149646759033,0.6464587450027466,0.6904156804084778
M3_a_ghost_p025,123,4,fc2,0.2687576115131378,0.2672032713890075,0.3293417096138,0.3867388367652893
M3_a_ghost_p025,123,5,conv1,0.0227648969739675,0.0191545952111482,0.0398338362574577,0.0654217973351478
